"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Delivery & Analysis","800004","Grade 6","59500","71000","Team Leader","20.02747747747748","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Delivery & Analysis","800004","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Geopolitics & Security","800011","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Geopolitics & Security","800011","HEO","28000","38595","Policy Adviser","5.464864864864865","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Geopolitics & Security","800011","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Geopolitics & Security","800011","Grade 7","48500","60078","Team Leader","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Geopolitics & Security","800011","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Development & Parliament","600077","AO","21493","25433","Admin Support Officer","18","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Development & Parliament","600077","EO","24300","33929","Executive Officer","40.705555555555556","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Development & Parliament","600077","HEO","28000","38595","Policy Adviser","80.79756756756757","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Development & Parliament","600077","SEO","38300","46000","Policy Adviser","20.300000000000004","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Development & Parliament","600077","Grade 7","48500","60078","Team Leader","59.49333333333334","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Development & Parliament","600077","Grade 6","59500","71000","Team Leader","43.62222222222222","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Development & Parliament","600077","SCS1","71000","117800","Senior Policy Adviser","17","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Eastern Europe & Central Asia","600036","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Eastern Europe & Central Asia","600036","EO","24300","33929","Executive Officer","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Eastern Europe & Central Asia","600036","HEO","28000","38595","Policy Adviser","51.9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Eastern Europe & Central Asia","600036","SEO","38300","46000","Policy Adviser","25.8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Eastern Europe & Central Asia","600036","Grade 7","48500","60078","Team Leader","43","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Eastern Europe & Central Asia","600036","Grade 6","59500","71000","Team Leader","19","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Eastern Europe & Central Asia","600036","SCS1","71000","117800","Senior Policy Adviser","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economic Cooperation & Growth","600025","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economic Cooperation & Growth","600025","EO","24300","33929","Executive Officer","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economic Cooperation & Growth","600025","HEO","28000","38595","Policy Adviser","18.26666666666667","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economic Cooperation & Growth","600025","SEO","38300","46000","Policy Adviser","9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economic Cooperation & Growth","600025","Grade 7","48500","60078","Team Leader","34.638888888888886","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economic Cooperation & Growth","600025","Grade 6","59500","71000","Team Leader","18.713055555555556","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economic Cooperation & Growth","600025","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economics and Evaluation (Chief Economist)","600169","AO","21493","25433","Admin Support Officer","6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economics and Evaluation (Chief Economist)","600169","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economics and Evaluation (Chief Economist)","600169","HEO","28000","38595","Policy Adviser","14.621621621621621","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economics and Evaluation (Chief Economist)","600169","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economics and Evaluation (Chief Economist)","600169","Grade 7","48500","60078","Team Leader","12.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economics and Evaluation (Chief Economist)","600169","Grade 6","59500","71000","Team Leader","6.388888888888889","Policy Profession","Unknown"
